id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
95,Ezra,"Priya has recently moved to Kochi along with her husband and brings along an antique Jewish trunk, unaware that it contains a dybbuk, a revenge-hungry spirit.",,,0 days 02:16:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
96,Drishyam,Story of a common family man who takes desperate measures to save his wife and two daughters when they unwittingly get entangled into a crime.,,,0 days 02:36:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
97,DJ,"DJ is an undercover officer fighting crime in the guise of a priest. Things take a turn when he falls in love with Pooja, the daughter of a corrupt minister.",,,0 days 02:12:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
98,Bheemla Nayak,"An upright cop goes toe to toe with an ex-havildar over a petty case. As the quarrel between these egoistic men gets intense, how far will they go to win?",,,0 days 02:23:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
99,Sanam Re,"An unfortunate event separates a much-in-love couple. However, fate gives them a second chance at happiness. Will luck favour them now?",,,0 days 01:53:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
100,D-16,"Retired inspector Deepak loses his leg during an investigation. Years later, he has to relive the dreaded past.",,,0 days 01:29:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
101,MS Dhoni: The Untold Story,"A tell-all tale about the life and times of Indian cricketer Mahendra Singh Dhoni, mapping his journey; from a ticket collector to a celebrated cricketer.",,,0 days 02:57:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
102,Neerja,"A biopic on the brave Neerja Bhanot, the head purser had sacrificed her life for the safety of her passengers when terrorists hijacked Pan Am Flight 73.",,,0 days 01:56:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
103,Hashtag Prem,"Sanika, a free-spirited girl, gets caught in the mist of love after she befriends JD online. To meet him, she travels to Goa, which changes her life forever.",,,0 days 01:51:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
104,Khatarnak Policewala,Assistant Commissioner Vetrimaaran investigates a series of murders when a priest is found dead and a woman goes missing under mysterious circumstances.,,,0 days 02:05:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
105,Panga,"A forgotten Kabaddi world champion catalyzes an inner desire to give a new meaning to her existing role as a wife and mother, and makes a comeback.",,,0 days 02:11:00,,2020-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
106,MS Dhoni: The Untold Story,How did India get one of its favourite cricketers? Watch the life and struggles of MS Dhoni in his journey to become a respected sportsperson in this biopic.,,,0 days 02:57:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
107,Tubelight,"Taking us back to the 1962 Sino-Indian War; this is the story of a disabled man, popularly known as Tubelight, his love for his family and self-belief.",,,0 days 02:10:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
108,Ungalukkaga Oruvan,"When a software company CEO, Rishi, returns to India and reunites with his former classmate, little does he know that things are way worse than they look.",,,0 days 02:58:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
109,Veerappan,"Based on the life of infamous sandalwood dacoit, Veerappan, the film charts the events leading to Operation Cocoon, his ultimate downfall.",,,0 days 01:50:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
110,K.G.F,"Set in the 70s, an ambitious young man sets out to fulfil a promise he made to his dying mother by bringing the owner of a corrupt gold mine to book.",,,0 days 02:23:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
111,Khaidi No. 150,"Seenu escapes from prison and sends his lookalike Shankar in his place. But when he realises that Shankar was helping the farmers, he decides to fight for them.",,,0 days 02:17:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
112,Ready,"Prem and his family devise a strategy to reform his girlfriend, Sanjana’s mafia uncles who want to inherit her wealth.",,,0 days 02:18:00,,2011-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
113,Bodyguard,"A bodyguard falls in love with a woman over the phone, without realising that she is actually the woman he is protecting.",,,0 days 02:05:00,,2011-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
114,Prati Roju Pandage,"In this celebration of life and bonding, a grandson decides to make his aging grandfather get the most out of his remaining sunset years.",,,0 days 02:25:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
115,Dishoom,"A no-nonsense cop accompanied by a rookie go on a 36-hour manhunt for a missing Indian cricketer, who has been kidnapped under mysterious circumstances.",,,0 days 01:56:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
116,Saamy 2,"In this sequel to the superhit action thriller Saamy, Aarusaamy's son becomes a cop and takes on Ravana Pichai, the criminal behind his parents' murder.",,,0 days 02:28:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
117,Ek Villain,"Guru, a goon, marries Aisha and decides to make a fresh start. However, their happiness is short lived when a serial killer makes an entry.",,,0 days 02:02:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
118,Express Khiladi,A pantry boy and a young girl fall for each other onboard a train bound for Chennai. They find themselves in danger when a gang of dacoits hijacks the train.,,,0 days 02:29:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
119,Housefull 2,"Four fathers look for the richest groom for their daughters. Chaos ensues as all the prospective grooms are pretending to be what they are not, i.e., rich.",,,0 days 02:30:00,,2012-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
